molecule_id,Washed_smiles,SR,bioactivity_class
4303,CCCCCCCCc1cc[n+](cc1)CC(=O)c2ccc(cc2)Br,,active
4307,CCCCCCCCCc1cc[n+](cc1)CC(=O)c2ccc(cc2)[N+](=O)[O-],6.213,active
4320,CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)OC7C(C(C(C(O7)CO)O)O)O,8,active
4357,CN1CCCC(C1)OC(=O)C(c2ccccc2)c3ccccc3,4.456,inactive
4367,Cc1ccc(cc1)S(=O)(=O)Nc2cccc3c2[nH]cnc3=O,4.97,inactive
4375,CCN(CCCC(C)Nc1ccnc2c1ccc(c2)Cl)CCO,,active
4377,c1cc2c(cc(nc2c(c1)Cl)c3ccc(cc3)Cl)C(C4CCCCN4)O,,active
4378,CCN(CC)CC(c1cc(nc2c1ccc(c2)Cl)c3ccc(cc3)Cl)O,5.771,inactive
4432,CC1(c2ccccc2[N+](=C1/C=C/c3ccc(cc3)N(C)CCCl)C)C,6.479,active
4434,CC1(c2ccccc2[N+](=C1/C=C/c3c4ccccc4n(c3c5ccccc5)C)C)C,6.363,active
4475,c1cc(ccc1/C=N/N=c\2/[nH]c3ccc(cc3s2)[N+](=O)[O-])O,5.512,inactive
4482,CC(C)(C)CC(C)(C)c1ccc(cc1)OCCSC(=N)N,6.497,active
4483,c1cc[n+](c(c1)S)[O-],,active
4512,c1ccc(cc1)S(=O)(=O)CC(C#N)I,,active
4518,c1cc(c(cc1C(=O)c2ccc(c(c2)Br)N)Br)N,6.597,active
4582,c1cc(c(cc1Br)/C=C/C(=O)/C=C\c2cc(ccc2O)Br)O,6.494,active
4622,CC(C)(C)COS(=O)OCC(C)(C)C,4,inactive
4623,c1ccc(cc1)c2[nH]c(c(n2)C(=O)O)C(=O)O,7.725,active
4631,c1cc(c(cc1Br)C(=O)c2cc(ccc2O)Br)O,,active
4644,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,4.367,inactive
4681,c1cc(ccc1OCC(=O)O)OCC(=O)O,7.212,active
4698,Cc1cc(c(cc1SC#N)C(C)C)O,,active
4702,c1ccc2c(c1)c3cc(ccc3n2N=O)[N+](=O)[O-],,active
4722,c1ccc2c(c1)C(=O)c3cc(cc(c3C2=O)OCC(C(C(C=O)O)O)O)CO,4.054,inactive
4728,c1nnc(s1)N,2.698,inactive
4810,c1ccc2c(c1)/C(=N/Nc3ccc(cc3[N+](=O)[O-])[N+](=O)[O-])/C(=O)N2,4.592,inactive
4828,CC(C)C1=CCC2C(=C1)CCC3C2(CCCC3(C)C(=O)O)C,4,inactive
4844,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,5.816,inactive
4857,CCN(CC)C(=S)S,7.451,active
4895,c1cc(ccc1/N=N/c2ccc(c(c2)C(=O)O)O)[N+](=O)[O-],4.532,inactive
4896,c1cc(c(c2c1C(=O)c3c(ccc(c3C2=O)O)O)O)O,4.577,inactive
4900,C[C@H]1[C@@H]2CC[C@]3(C=CC(=O)C(=C3[C@H]2OC1=O)C)C,,active
4911,c1[nH]c2c(c(=S)n1)ncn2C3C(C(C(O3)CO)O)O,,active
4928,CCCNc1c2cn[nH]c2ncn1,4,inactive
4955,CCCNc1c2c(ncn1)n(cn2)C,,active
4960,COc1ccc(cc1)O,4.047,inactive
4972,CC(C)(C)c1cc(ccc1O)O,5.957,inactive
5006,Cc1cc(ccc1N)C(=C2C=CC(=N)C=C2)c3ccc(cc3)N,,active
5011,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3,7.649,active
5013,Cc1cc(ccc1N)C(=C2C=CC(=Nc3ccccc3)C=C2)c4ccc(cc4)Nc5ccccc5,6.539,active
5014,Cc1cc(ccc1N)C(c2ccc(cc2)Nc3ccccc3)(c4ccc(cc4)Nc5ccc(cc5)S(=O)(=O)O)O,6.147,active
5019,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)Cc3cccc(c3)S(=O)(=O)O)C=C2)c4ccc(cc4)N(CC)Cc5cccc(c5)S(=O)(=O)O,6.731,active
5031,c1c(cc(c(c1O)O)O)C(=O)Oc2cc(cc(c2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)c4cc(c(c(c4)OC(=O)c5cc(c(c(c5)O)O)O)O)O)OC(=O)c6cc(c(c(c6)OC(=O)c7cc(c(c(c7)O)O)O)O)O)OC(=O)c8cc(c(c(c8)OC(=O)c9cc(c(c(c9)O)O)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O,4.679,inactive
5034,c1ccc2c(c1)ccc(c2O)N=O,,active
5038,c1ccc(cc1)N2C3N(C2=NN3c4ccccc4)c5ccccc5,,active
5042,CN(C)c1ccc(cc1)/C=C/2\C(=O)NC(=S)S2,4,inactive
5048,c1ccc2c(c1)c(ccc2O)/N=N/c3ccc(cc3)[N+](=O)[O-],5.524,inactive
5053,c1ccc(cc1)c2nn([n+](n2)c3ccccc3)c4ccccc4,5.472,inactive
5062,C=CC[N+]12CN3CN(C1)CN(C3)C2,,active
5066,Cc1cc(cc(c1/N=N/c2ccc(cc2)[N+](=O)[O-])O)O,,active
5069,C1CN2CC3=CCOC(C4C3CC2C15C4NC6=C(C(=O)C(=O)C=C56)[N+](=O)[O-])CC(=O)O,,active
5112,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,4.7595,inactive
5113,CC(=CCc1c(c2c(=O)c(coc2c3c1OC(C=C3)(C)C)c4ccc(c(c4)O)O)O)C,6.691,active
5137,c1cc(ccc1C(=O)CCC(=O)O)Cl,4,inactive
5157,Cc1c(ccc2c1oc(=O)c(c2O)NC(=O)c3ccc4c(c3)CCC(O4)(C)C)O,4,inactive
5159,Cc1ccc2c3c1c(=O)oc4c3c(c(c5c4c(ccc5)OC6C(C(C(C(O6)C)O)O)OC7C(C(C(C(O7)C)O)OC)O)O)c(=O)o2,6.428,active
5192,c1ccc2c(c1)ccc-3c2C(=O)C(=O)c4c3cccc4,5.571,inactive
5200,c1ccc(cc1)/N=N/c2c([nH]c(nc2=O)N)N,4,inactive
5206,CCCCCCCCCCCC1N=C(N=C(N1c2cccc(c2)Br)N)N,6.189,active
5278,c1c(c(c(c(c1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-],6.269,active
5283,CC[Sn](CC)(CC)Cl,6.318,active
5332,c1ccc2c(c1)ccc(c2/N=N\c3ccccn3)O,6.449,active
5337,CCCCCCCCCCCC[n+]1ccccc1,6.808,active
5347,c1ccc(c(c1)C(=O)O)SCC(=O)O,4,inactive
5354,c1ccc(c(c1)N)N,4.483,inactive
5355,COc1ccc2cc-3[n+](cc2c1OC)CCc4c3cc5c(c4)OCO5,4.606,inactive
5362,COc1ccc2c(c1)c(ccn2)C(C3CC4CCN3CC4C=C)O,4.092,inactive
5364,C=CC1CN2CCC1CC2C(c3ccnc4c3cccc4)O,4,inactive
5366,CN1CCc2cc3c(c(c2[C@@H]1[C@@H]4c5ccc(c(c5C(=O)O4)OC)OC)OC)OCO3,4.411,inactive
5417,c1ccc2c(c1)c(ccc2O)N=O,,active
